Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199,88.7,5.0,8.61,4.5,0,1,0,1
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755,171.5,8.0,21.0,17.5,1,0,1,0
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462,103.25,5.0,10.65,9.95,0,1,0,1
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477,175.56,7.0,32.01,15.0,1,0,0,1
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995,190.0,5.0,47.87,18.55,1,0,1,0
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199,88.7,5.0,10.57,9.9,0,1,0,1
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598,103.5,5.0,12.33,6.98,0,1,0,1
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248,88.5,5.0,11.12,8.63,1,0,0,1
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999,149.92,5.0,23.64,8.85,0,1,1,0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694,163.7,7.0,18.64,10.95,0,1,0,1
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393,147.8,8.0,19.34,16.5,1,0,0,1
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950,194.0,5.0,49.14,35.67,1,0,1,0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396,88.7,5.0,11.81,10.5,1,0,0,1
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461,108.5,5.0,16.65,6.92,1,0,0,1
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193,88.7,5.0,6.67,4.5,0,1,0,1
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198,67.0,7.0,6.45,3.95,0,1,0,1
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197,78.9,5.0,6.41,3.9,0,1,0,1
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755,171.5,7.0,27.0,19.25,1,0,1,0
